cell_id,plan_cell_id,planned_disposition,reason,route_id,state,suite,updated_at_utc
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-000,load_epoch:aimd-deepseek-v4-flash-0731-long_short-000,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:12:20.141957Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-001,load_epoch:aimd-deepseek-v4-flash-0731-long_short-001,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:12:38.961358Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-002,load_epoch:aimd-deepseek-v4-flash-0731-long_short-002,required,zero_scheduled_poisson_arrivals,deepseek-v4-flash-0731,inconclusive,load,2026-08-28T12:12:43.971641Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-003,load_epoch:aimd-deepseek-v4-flash-0731-long_short-003,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:12:58.657355Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-004,load_epoch:aimd-deepseek-v4-flash-0731-long_short-004,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:13:09.585113Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-005,load_epoch:aimd-deepseek-v4-flash-0731-long_short-005,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:13:23.863521Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-006,load_epoch:aimd-deepseek-v4-flash-0731-long_short-006,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:13:37.954770Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-007,load_epoch:aimd-deepseek-v4-flash-0731-long_short-007,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:13:49.653495Z
long_short:aimd:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-008,load_epoch:aimd-deepseek-v4-flash-0731-long_short-008,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:14:04.621873Z
long_short:baseline:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-baseline,load_epoch:aimd-deepseek-v4-flash-0731-long_short-baseline,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:11:19.317804Z
long_short:baseline:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-baseline-attempt-1,load_epoch:aimd-deepseek-v4-flash-0731-long_short-baseline-attempt-1,conditional_on_prior_baseline_failure,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:12:11.686889Z
long_short:baseline:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-baseline-attempt-2,load_epoch:aimd-deepseek-v4-flash-0731-long_short-baseline-attempt-2,conditional_on_prior_baseline_failure,healthy_baseline_already_established,deepseek-v4-flash-0731,not_applicable,load,2026-08-28T12:12:11.689082Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-0,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-0,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:14:19.515883Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-1,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-1,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:14:53.813460Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-2,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-2,required,,deepseek-v4-flash-0731,completed,load,2026-08-28T12:15:26.763495Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-0,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-0,conditional_on_prior_confirmation_failure,lower_rate_confirmation_not_needed,deepseek-v4-flash-0731,not_applicable,load,2026-08-28T12:15:26.765246Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-1,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-1,conditional_on_prior_confirmation_failure,lower_rate_confirmation_not_needed,deepseek-v4-flash-0731,not_applicable,load,2026-08-28T12:15:26.768566Z
long_short:confirmation:in100000:out128:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-2,load_epoch:aimd-deepseek-v4-flash-0731-long_short-confirm-stage-1-2,conditional_on_prior_confirmation_failure,lower_rate_confirmation_not_needed,deepseek-v4-flash-0731,not_applicable,load,2026-08-28T12:15:26.771635Z
