achieved_rate_denominator,aggregate_output_metric_provenance,arrival_latency_estimand,arrival_latency_p95_across_blocks,arrival_latency_p95_across_blocks_ci95_high,arrival_latency_p95_across_blocks_ci95_low,arrival_latency_p95_across_blocks_ci_method,arrival_latency_p95_across_blocks_n,arrival_latency_p95_across_blocks_unit,arrival_window_seconds_sum,blocks_n,capacity_estimand_blocks_n,capacity_estimand_state,censored_block_reasons_json,censored_blocks_n,completed_rpm,completed_rpm_ci95_high,completed_rpm_ci95_low,completed_rpm_ci_method,completed_rpm_n,completed_rpm_unit,completion_rate,completion_rate_ci95_high,completion_rate_ci95_low,completion_rate_ci_method,completion_rate_n,completion_rate_unit,early_termination_seconds_sum,elapsed_wall_seconds_sum,healthy_blocks_n,launch_rate,launch_rate_ci95_high,launch_rate_ci95_low,launch_rate_ci_method,launch_rate_n,launch_rate_unit,launched_logical_rpm,launched_logical_rpm_ci95_high,launched_logical_rpm_ci95_low,launched_logical_rpm_ci_method,launched_logical_rpm_n,launched_logical_rpm_unit,logical_requests_launched_n,observed_blocks_healthy_n,observed_requests_completed_n,observed_requests_successful_n,offered_rate_denominator,offered_rpm,offered_rpm_ci95_high,offered_rpm_ci95_low,offered_rpm_ci_method,offered_rpm_n,offered_rpm_unit,offered_rps_target,phase,physical_attempt_rpm,physical_attempt_rpm_ci95_high,physical_attempt_rpm_ci95_low,physical_attempt_rpm_ci_method,physical_attempt_rpm_n,physical_attempt_rpm_unit,physical_attempt_success_rate,physical_attempt_success_rate_ci95_high,physical_attempt_success_rate_ci95_low,physical_attempt_success_rate_ci_method,physical_attempt_success_rate_n,physical_attempt_success_rate_unit,physical_attempts_n,physical_other_outcomes_n,physical_rate_limited_n,physical_server_errors_n,physical_status_provenance,physical_successes_n,physical_timeouts_n,physical_transport_errors_n,post_arrival_drain_p50,post_arrival_drain_p50_ci95_high,post_arrival_drain_p50_ci95_low,post_arrival_drain_p50_ci_method,post_arrival_drain_p50_n,post_arrival_drain_p50_unit,post_arrival_drain_seconds_sum,quality_adjusted_rpm,quality_adjusted_rpm_ci95_high,quality_adjusted_rpm_ci95_low,quality_adjusted_rpm_ci_method,quality_adjusted_rpm_n,quality_adjusted_rpm_unit,quality_censored_blocks_n,quality_complete_blocks_n,quality_mean,quality_mean_ci95_high,quality_mean_ci95_low,quality_mean_ci_method,quality_mean_n,quality_mean_unit,quality_reporting_state,quality_verification_counts_json,raw_runner_elapsed_seconds_sum,requests_completed_n,requests_successful_n,route_id,sampling_unit,service_latency_estimand,service_latency_p95_across_blocks,service_latency_p95_across_blocks_ci95_high,service_latency_p95_across_blocks_ci95_low,service_latency_p95_across_blocks_ci_method,service_latency_p95_across_blocks_n,service_latency_p95_across_blocks_unit,shape,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_estimand,success_rate_n,success_rate_unit,successful_input_tpm,successful_input_tpm_ci95_high,successful_input_tpm_ci95_low,successful_input_tpm_ci_method,successful_input_tpm_n,successful_input_tpm_unit,successful_output_tpm,successful_output_tpm_ci95_high,successful_output_tpm_ci95_low,successful_output_tpm_ci_method,successful_output_tpm_n,successful_output_tpm_unit,successful_rpm,successful_rpm_ci95_high,successful_rpm_ci95_low,successful_rpm_ci_method,successful_rpm_n,successful_rpm_unit,tpm_censored_blocks_n,tpm_complete_blocks_n,tpm_estimand,tpm_reporting_state,ttft_estimand,ttft_p95_across_blocks,ttft_p95_across_blocks_ci95_high,ttft_p95_across_blocks_ci95_low,ttft_p95_across_blocks_ci_method,ttft_p95_across_blocks_n,ttft_p95_across_blocks_unit,unknown_outcomes_n,usage_verification_counts_json,warm_state
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,6.183290168642998,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,7.103859888351063,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,8.446112527977675,1,1.0,,,single-block-no-CI,1,proportion,7.103859888351063,,,single-block-no-CI,1,requests/minute,1,1,1,1,scheduled-arrival window,12.0,,,single-block-no-CI,1,requests/minute,0.25,aimd,7.103859888351063,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,1,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",1,0,0,3.446112527977675,,,single-block-no-CI,1,seconds,3.446112527977675,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",8.446112527977675,1,1,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,6.165850260993466,,,single-block-no-CI,1,seconds,long_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,710407.3004147713,,,single-block-no-CI,1,tokens/minute,35.519299441755315,,,single-block-no-CI,1,tokens/minute,7.103859888351063,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,6.089789963094518,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,11.825442845647922,13.832223866146522,10.246294156135992,epoch/block-bootstrap-percentile,7,seconds,35.0,8,7,eligible_blocks_only,"{""zero_scheduled_poisson_arrivals"":1}",1,9.656007600683116,12.533747438918352,7.5486524311759355,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,0.0,99.4199714519782,7,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,9.656007600683116,12.533747438918352,7.5486524311759355,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,16,7,16,16,scheduled-arrival window,27.428571428571427,36.0,20.571428571428573,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,0.5,aimd,9.656007600683116,12.533747438918352,7.5486524311759355,epoch/block-bootstrap-ratio-of-sums,7,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,16,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",16,0,0,9.271972468006425,9.960564250010066,6.6919971000170335,epoch/block-bootstrap-percentile,7,seconds,64.4199714519782,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,7,quality-weighted successful tasks/minute,0,7,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,complete,"{""request_ledger_join"":7}",99.4199714519782,16,16,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,11.810004729503998,13.815869878168451,10.226966707943939,epoch/block-bootstrap-percentile,7,seconds,long_short,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",7,proportion,965604.984571637,1253374.1470467192,754866.31538049,epoch/block-bootstrap-ratio-of-sums,7,tokens/minute,350.030275524763,606.5675684957451,142.50277937165967,epoch/block-bootstrap-ratio-of-sums,7,tokens/minute,9.656007600683116,12.533747438918352,7.5486524311759355,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,0,7,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,9.029090864898171,10.74598407804151,7.634078619786305,epoch/block-bootstrap-percentile,7,seconds,0,"{""request_ledger_join"":7}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,35.860027727385756,,,single-block-no-CI,1,seconds,40.0,1,1,eligible_blocks_only,{},0,22.918191785958484,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,52.360151760978624,1,1.0,,,single-block-no-CI,1,proportion,22.918191785958484,,,single-block-no-CI,1,requests/minute,20,1,20,20,scheduled-arrival window,30.0,,,single-block-no-CI,1,requests/minute,0.5,baseline,22.918191785958484,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,12.360151760978624,,,single-block-no-CI,1,seconds,12.360151760978624,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",52.360151760978624,20,20,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,35.84395765893279,,,single-block-no-CI,1,seconds,long_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,2291837.5131492773,,,single-block-no-CI,1,tokens/minute,752.8626001687362,,,single-block-no-CI,1,tokens/minute,22.918191785958484,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,15.730173518956871,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,39.93649621363148,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,23.2877531041431,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,51.52923060604371,0,1.0,,,single-block-no-CI,1,proportion,23.2877531041431,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,25.616528414557408,,,single-block-no-CI,1,attempts/minute,0.9090909090909091,,,single-block-no-CI,1,proportion,22,0,0,2,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,31.52923060604371,,,single-block-no-CI,1,seconds,31.52923060604371,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",51.52923060604371,20,20,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,37.52469750070596,,,single-block-no-CI,1,seconds,long_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,23.2877531041431,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,25.12094555249205,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,11.968954621127342,13.049229479482165,10.662443647324109,epoch/block-bootstrap-percentile,3,seconds,15.0,3,3,eligible_blocks_only,{},0,11.67279645369652,16.122324415419666,8.646607330794469,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,0.0,41.1212516130181,3,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,11.67279645369652,16.122324415419666,8.646607330794469,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,8,3,8,8,scheduled-arrival window,32.0,48.0,24.0,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,0.5,confirmation,11.67279645369652,16.122324415419666,8.646607330794469,epoch/block-bootstrap-ratio-of-sums,3,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,8,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",8,0,0,8.878275652998127,9.886190962046385,7.356784997973591,epoch/block-bootstrap-percentile,3,seconds,26.121251613018103,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,3,quality-weighted successful tasks/minute,0,3,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,complete,"{""request_ledger_join"":3}",41.1212516130181,8,8,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,11.95334909306257,13.019294099201216,10.645581600064178,epoch/block-bootstrap-percentile,3,seconds,long_short,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",3,proportion,1167289.859066549,1612236.4721230704,864639.1165611199,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,402.71147765252994,574.9993874978322,155.38022230821883,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,11.67279645369652,16.122324415419666,8.646607330794469,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,0,3,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,7.712976921175141,10.460759908065665,7.149178776633925,epoch/block-bootstrap-percentile,3,seconds,0,"{""request_ledger_join"":3}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,17.565818082401528,17.619813275686464,17.51182288911659,epoch/block-bootstrap-percentile,2,seconds,20.0,2,2,eligible_blocks_only,{},0,14.639781339379676,15.741308294104963,13.68233483358838,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,0.0,40.98421869089361,2,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,14.639781339379676,15.741308294104963,13.68233483358838,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,10,2,10,10,scheduled-arrival window,30.0,30.0,30.0,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0.5,confirmation_separator,14.639781339379676,15.741308294104963,13.68233483358838,epoch/block-bootstrap-ratio-of-sums,2,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,10,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",10,0,0,10.492109345446806,11.926082327961922,9.058136362931691,epoch/block-bootstrap-percentile,2,seconds,20.984218690893613,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,quality-weighted successful tasks/minute,0,2,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,complete,"{""request_ledger_join"":2}",40.98421869089361,10,10,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,17.54975365601713,17.603900774451905,17.495606537582354,epoch/block-bootstrap-percentile,2,seconds,long_short,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",2,proportion,1463988.381784905,1574140.2741954727,1368244.4292267049,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,398.20205243112713,525.4016576097938,251.8609327056794,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,14.639781339379676,15.741308294104963,13.68233483358838,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0,2,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,10.923121431481558,11.046308553800918,10.799934309162198,epoch/block-bootstrap-percentile,2,seconds,0,"{""request_ledger_join"":2}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,83.51988154753343,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,2.0474861058664913,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,87.91268447891343,1,1.0,,,single-block-no-CI,1,proportion,2.0474861058664913,,,single-block-no-CI,1,requests/minute,3,1,3,3,scheduled-arrival window,36.0,,,single-block-no-CI,1,requests/minute,0.25,aimd,2.0474861058664913,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,3,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",3,0,0,82.91268447891343,,,single-block-no-CI,1,seconds,82.91268447891343,2.0474861058664913,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,1.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",87.91268447891343,3,3,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,83.50706945097772,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,589.6759984895496,,,single-block-no-CI,1,tokens/minute,8386.503089629148,,,single-block-no-CI,1,tokens/minute,2.0474861058664913,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.6461699172272346,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,81.35624924392906,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,2.112306804953216,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,85.2148937729653,1,1.0,,,single-block-no-CI,1,proportion,2.112306804953216,,,single-block-no-CI,1,requests/minute,3,1,3,3,scheduled-arrival window,36.0,,,single-block-no-CI,1,requests/minute,0.5,aimd,2.112306804953216,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,3,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",3,0,0,80.2148937729653,,,single-block-no-CI,1,seconds,80.2148937729653,2.112306804953216,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,1.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",85.2148937729653,3,3,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,81.34086230754619,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,606.2320530215729,,,single-block-no-CI,1,tokens/minute,8652.008673088372,,,single-block-no-CI,1,tokens/minute,2.112306804953216,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.5936839127563872,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,82.12772579863667,84.785713895323,74.27734471845906,epoch/block-bootstrap-percentile,7,seconds,35.0,7,7,eligible_blocks_only,{},0,3.882680591158804,5.023447967622106,2.920129643005419,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,0.0,587.2231687540188,7,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,3.882680591158804,5.023447967622106,2.920129643005419,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,38,7,38,38,scheduled-arrival window,65.14285714285714,87.42857142857143,46.285714285714285,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,1.0,aimd,3.882680591158804,5.023447967622106,2.920129643005419,epoch/block-bootstrap-ratio-of-sums,7,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,7,proportion,38,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",38,0,0,81.72994836699218,84.07916634099092,73.46415781206451,epoch/block-bootstrap-percentile,7,seconds,552.2231687540188,3.4739773710368245,4.508347535903101,2.515963108906789,epoch/block-bootstrap-ratio-of-sums,7,quality-weighted successful tasks/minute,0,7,0.8947368421052632,0.9666666666666667,0.8235294117647058,epoch/block-bootstrap-ratio-of-sums,7,proportion,complete,"{""request_ledger_join"":7}",587.2231687540188,38,38,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,82.11685921426397,84.77355973122758,74.26360390387708,epoch/block-bootstrap-percentile,7,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",7,proportion,887.2954121674418,1186.0736472115989,677.0268639898242,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,12578.15938905241,16907.74127254771,9606.589035458383,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,3.882680591158804,5.023447967622106,2.920129643005419,epoch/block-bootstrap-ratio-of-sums,7,requests/minute,4,3,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",partial_complete_blocks_only,successful_final_logical_outcomes_with_observed_ttft_only,0.6768505920190364,0.7596844262443483,0.6379853077000006,epoch/block-bootstrap-percentile,7,seconds,0,"{""request_ledger_join"":3,""successful_request_usage_incomplete"":4}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,97.97537472448894,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,10.429306729218734,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,115.06038044102024,1,1.0,,,single-block-no-CI,1,proportion,10.429306729218734,,,single-block-no-CI,1,requests/minute,20,1,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,10.429306729218734,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,95.06038044102024,,,single-block-no-CI,1,seconds,95.06038044102024,10.429306729218734,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,1.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",115.06038044102024,20,20,deepseek-v4-flash-0731,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,97.96481799543254,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,3006.2476646973,,,single-block-no-CI,1,tokens/minute,42694.97442273919,,,single-block-no-CI,1,tokens/minute,10.429306729218734,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.820588305790443,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
