campaign_id,endpoint_id,suite,matched_cells_n,logical_requests_n,attempts_n,successes_n,success_rate,rate_limited_n,timeouts_n,server_errors_n,unexpected_client_errors_n,cache_hit_n,cache_miss_n,cache_unknown_n,cache_read_tokens_sum,settled_usd_sum,source_bundle_sha256
do-complete-20260827-r1,deepseek-v4-flash-0731,cache,2,24,24,24,1,0,0,0,0,3,21,0,24576,0.014460996,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,deepseek-v4-flash-0731,capability,36,36,36,31,0.861111111111,0,0,0,5,9,22,5,2304,0.004477416,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,deepseek-v4-flash-0731,context,15,15,15,14,0.933333333333,0,0,0,1,0,14,1,0,0.803503744,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,deepseek-v4-flash-0731,output,8,8,8,6,0.75,0,0,0,1,0,6,2,0,0.532616044,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,deepseek-v4-flash-0731,warmup,1,1,1,1,1,0,0,0,0,0,1,0,0,2.334e-05,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,gemma-4-31B-it,latency,7,48,49,48,0.979591836735,0,0,0,0,1,47,0,256,0.293384836,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,gemma-4-31B-it,warmup,1,1,1,1,1,0,0,0,0,0,1,0,0,5.52e-05,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,glm-5.2,cache,2,24,24,24,1,0,0,0,0,11,13,0,89408,0.08665084,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,glm-5.2,interactions,16,16,16,16,1,0,0,0,0,15,1,0,2880,0.0076756,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
do-complete-20260827-r1,glm-5.2,quality,4,24,24,24,1,0,0,0,0,0,24,0,0,0.0093184,0b2a4772c5c444d25d66be7f851488456d09551c4ce5fd6575c4017d793796ac
