attempted_n,cache_read_tokens_reported_n,cache_read_tokens_sum,cache_stratum,completion_tokens_sum,elapsed_hours,eligible_output_rate_median,eligible_output_rate_median_ci95_high,eligible_output_rate_median_ci95_low,eligible_output_rate_median_ci_method,eligible_output_rate_median_n,eligible_output_rate_median_unit,eligible_output_rate_n,mixed_subtype,output_rate_eligibility_rule,panel,panel_started_at_utc,prompt_tokens_sum,request_latency_median,request_latency_median_ci95_high,request_latency_median_ci95_low,request_latency_median_ci_method,request_latency_median_n,request_latency_median_unit,request_latency_p95,request_latency_p95_ci95_high,request_latency_p95_ci95_low,request_latency_p95_ci_method,request_latency_p95_n,request_latency_p95_unit,route_id,settled_cost_reported_n,settled_cost_usd_sum,shape,status_counts,success_n,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_n,success_rate_unit,ttft_median,ttft_median_ci95_high,ttft_median_ci95_low,ttft_median_ci_method,ttft_median_n,ttft_median_unit,ttft_p95,ttft_p95_ci95_high,ttft_p95_ci95_low,ttft_p95_ci_method,ttft_p95_n,ttft_p95_unit,usage_eligible_n
2,1,0,panel_unique_cold,13,0.0,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,99999,7.269480533024762,8.181841547018848,6.357119519030675,request-bootstrap-percentile,2,seconds,8.09060544561944,8.181841547018848,6.357119519030675,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.04682225200000001,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.030965593527071,6.092509799054824,5.9694213879993185,request-bootstrap-percentile,2,seconds,6.0863553785020486,6.092509799054824,5.9694213879993185,request-bootstrap-percentile,2,seconds,1
2,2,0,stable_exact_prompt,35,0.0,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,199995,7.0954244144959375,7.328299807035364,6.862549021956511,request-bootstrap-percentile,2,seconds,7.3050122677814215,7.328299807035364,6.862549021956511,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016008420000000002,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.695765494019724,6.827345016063191,6.564185971976258,request-bootstrap-percentile,2,seconds,6.814187063858845,6.827345016063191,6.564185971976258,request-bootstrap-percentile,2,seconds,2
2,2,0,panel_unique_cold,256,0.9998810324999999,53.30373856512445,54.32870126426371,52.27877586598518,request-bootstrap-percentile,2,tokens/second,2,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",1,2026-08-28T21:21:23.069122Z,200013,8.579821616469417,8.583573970012367,8.576069262926467,request-bootstrap-percentile,2,seconds,8.58319873465807,8.583573970012367,8.576069262926467,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016065552000000004,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.177600906521548,6.220040183980018,6.135161629063077,request-bootstrap-percentile,2,seconds,6.215796256234171,6.220040183980018,6.135161629063077,request-bootstrap-percentile,2,seconds,2
2,2,0,stable_exact_prompt,26,0.9998810324999999,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",1,2026-08-28T21:21:23.069122Z,199995,6.752198733505793,6.976265124976635,6.528132342034951,request-bootstrap-percentile,2,seconds,6.953858485829551,6.976265124976635,6.528132342034951,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016006152000000003,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.493908934062347,6.72327744809445,6.264540420030244,request-bootstrap-percentile,2,seconds,6.700340596691239,6.72327744809445,6.264540420030244,request-bootstrap-percentile,2,seconds,2
2,2,0,panel_unique_cold,85,1.999869483611111,48.85417060532599,,,single-observation-no-CI,1,tokens/second,1,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",2,2026-08-28T22:21:23.027546Z,200003,7.3798998819547705,7.864120019949041,6.8956797439605,request-bootstrap-percentile,2,seconds,7.815698006149614,7.864120019949041,6.8956797439605,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.01602166,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.551533639023546,6.651313881971873,6.451753396075219,request-bootstrap-percentile,2,seconds,6.64133585767704,6.651313881971873,6.451753396075219,request-bootstrap-percentile,2,seconds,2
2,2,0,stable_exact_prompt,136,1.999869483611111,54.946457239634945,,,single-observation-no-CI,1,tokens/second,1,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",2,2026-08-28T22:21:23.027546Z,199995,7.638047534506768,8.629877879051492,6.646217189962044,request-bootstrap-percentile,2,seconds,8.530694844597019,8.629877879051492,6.646217189962044,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016033871999999998,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.3735728350584395,6.3740101950243115,6.3731354750925675,request-bootstrap-percentile,2,seconds,6.373966459027724,6.3740101950243115,6.3731354750925675,request-bootstrap-percentile,2,seconds,2
2,2,0,panel_unique_cold,32,2.9998829869444443,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",3,2026-08-28T23:21:23.076158Z,200009,6.756122415477876,6.8801003359258175,6.632144495029934,request-bootstrap-percentile,2,seconds,6.867702543881023,6.8801003359258175,6.632144495029934,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016008783999999998,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.491868735989556,6.619822061969899,6.363915410009213,request-bootstrap-percentile,2,seconds,6.6070267293718645,6.619822061969899,6.363915410009213,request-bootstrap-percentile,2,seconds,2
2,2,0,stable_exact_prompt,144,2.9998829869444443,17.171073073228328,,,single-observation-no-CI,1,tokens/second,1,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",3,2026-08-28T23:21:23.076158Z,199995,10.242439664551057,13.74561243201606,6.739266897086054,request-bootstrap-percentile,2,seconds,13.395295155269558,13.74561243201606,6.739266897086054,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016035888,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.34913950401824,6.407063832040876,6.291215175995603,request-bootstrap-percentile,2,seconds,6.401271399238612,6.407063832040876,6.291215175995603,request-bootstrap-percentile,2,seconds,2
2,2,0,panel_unique_cold,32,3.999878041388889,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",4,2026-08-29T00:21:23.058354Z,199996,6.61951687146211,6.674032600945793,6.565001141978428,request-bootstrap-percentile,2,seconds,6.6685810279974245,6.674032600945793,6.565001141978428,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016007744,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.337784215516876,6.398313881014474,6.277254550019279,request-bootstrap-percentile,2,seconds,6.392260914464714,6.398313881014474,6.277254550019279,request-bootstrap-percentile,2,seconds,2
2,2,99840,stable_exact_prompt,119,3.999878041388889,40.590874679100956,,,single-observation-no-CI,1,tokens/second,1,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",4,2026-08-29T00:21:23.058354Z,199995,6.43302000046242,11.359893301967531,1.5061466989573091,request-bootstrap-percentile,2,seconds,10.86720597181702,11.359893301967531,1.5061466989573091,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.010538388000000001,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,5.024924973957241,8.822377152973786,1.2274727949406952,request-bootstrap-percentile,2,seconds,8.442631935072132,8.822377152973786,1.2274727949406952,request-bootstrap-percentile,2,seconds,2
