acceptance_reasons,analysis_block_id,analysis_block_index,arrival_cohort_effective_input_tpm_including_drain,arrival_cohort_effective_output_tpm_including_drain,arrival_cohort_elapsed_seconds_including_drain,arrival_cohort_successful_rpm_including_drain,arrival_window_effective_input_tpm_accounting,arrival_window_effective_output_tpm_accounting,arrival_window_successful_rpm_accounting,candidate_rate_rps,cell_id,claim_scope,completed_request_rows,endpoint_id,latency_p50_seconds,latency_p95_ci95_dkw_seconds,latency_p95_seconds,offered_rps_realized_schedule,predeclared_acceptance_pass,quality_pass_rate,quality_pass_rate_ci95_wilson,quality_passes,sampling_unit,scheduled_requests,schema_version,shape,source_id,source_kind,success_rate,success_rate_ci95_wilson,successes,ttft_p50_seconds,ttft_p95_ci95_dkw_seconds,ttft_p95_seconds
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-162869f7c2e0a07a9f5f,0,787510.0,1240.0,30.0,36.0,787510.0,1240.0,36.0,0.6000000000000001,do-soak-cell-e9da998ab2c0562dfbc8,this predeclared 30-second arrival cohort only,18,deepseek-v4-flash-0731,1.7476724795124028,"[2.0747040991471195,8.24874981897301]",7.3511139472800995,0.6,False,0.05555555555555555,"[0.009875190978303097,0.25757300781872594]",1,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.301899593003327,"[1.4286832564824596,1.903022326005157]",1.810599324441864
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-0fc8d70d5818e8c5cf3f,1,787528.0,1600.0,30.0,36.0,787528.0,1600.0,36.0,0.6000000000000001,do-soak-cell-e9da998ab2c0562dfbc8,this predeclared 30-second arrival cohort only,18,deepseek-v4-flash-0731,1.9122261219890788,"[2.0891646622617364,6.5827507430221885]",5.60502150649845,0.6,False,0.05555555555555555,"[0.009875190978303097,0.25757300781872594]",1,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.104857764497865,"[1.2901364542550051,6.458351731009316]",2.664635143752087
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-719ec67a20114c33459e,2,787498.0,1426.0,30.0,36.0,787498.0,1426.0,36.0,0.6000000000000001,do-soak-cell-e9da998ab2c0562dfbc8,this predeclared 30-second arrival cohort only,18,deepseek-v4-flash-0731,1.7223614065005677,"[1.8932258993808255,5.027019102999475]",4.437388971183099,0.6,False,0.0,"[0.0,0.17587922364665765]",0,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.0868084624962648,"[1.1893543698268763,3.9474446780222934]",2.225799581017051
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-040becc30bbf837da684,3,786787.4197333854,1480.647710677604,30.027399278963742,35.96715086666244,787506.0,1482.0,36.0,0.6000000000000001,do-soak-cell-e9da998ab2c0562dfbc8,this predeclared 30-second arrival cohort only,18,deepseek-v4-flash-0731,1.8652676199999405,"[2.0673261501434785,6.768121533998055]",5.641387442834091,0.6,False,0.0,"[0.0,0.17587922364665765]",0,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.053734426983283,"[1.156553290631333,3.015189742000075]",2.1319946724441237
"[""latency_p95_above_2x_paired_low_load_phase"",""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-ab5da6dbdb9e524e07f2,0,405583.3007800017,1185.0744119844492,35.64333139998156,18.51678768725702,481878.0,1408.0,22.0,0.35,do-soak-cell-c0bbae2f27febab8fae5,this predeclared 30-second arrival cohort only,11,minimax-m2.5,3.345010155986529,"[3.6899690339158058,8.635851614992134]",8.57868398098799,0.36666666666666664,False,0.0,"[0.0,0.2588329669680317]",0,analysis_block_id,11,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.7411670330319684,1.0]",11,1.9526099099894054,"[1.9871992847744,2.9921279799891636]",2.8093854959879536
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-ada33ebbdbf310476238,1,438070.0,1280.0,30.0,20.0,438070.0,1280.0,20.0,0.35,do-soak-cell-c0bbae2f27febab8fae5,this predeclared 30-second arrival cohort only,10,minimax-m2.5,2.751925372504047,"[2.7632740000437512,3.4607902679999825]",3.3525660627026808,0.3333333333333333,False,0.0,"[0.0,0.2775327998628892]",0,analysis_block_id,10,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.7224672001371107,0.9999999999999999]",10,1.800821080498281,"[1.8009269052032608,2.2163694170012604]",2.206587683757243
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-42435d86950fc1ea03a1,2,466113.62662495504,1361.9267502997345,31.01488387000532,21.280105473433352,481882.0,1408.0,22.0,0.35,do-soak-cell-c0bbae2f27febab8fae5,this predeclared 30-second arrival cohort only,11,minimax-m2.5,2.5405646979925223,"[2.5425036322811234,3.32952194698737]",3.0495432609895943,0.36666666666666664,False,0.0,"[0.0,0.2588329669680317]",0,analysis_block_id,11,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.7411670330319684,1.0]",11,1.727855252014706,"[1.7469945961188738,2.5276685699936934]",2.2287342114868807
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-f48dce4c016a72bb5de2,3,438060.0,1280.0,30.0,20.0,438060.0,1280.0,20.0,0.35,do-soak-cell-c0bbae2f27febab8fae5,this predeclared 30-second arrival cohort only,10,minimax-m2.5,2.578042296008789,"[2.584224065733803,3.4375046030036174]",3.3898664807013117,0.3333333333333333,False,0.0,"[0.0,0.2775327998628892]",0,analysis_block_id,10,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.7224672001371107,0.9999999999999999]",10,1.759063685007277,"[1.7657977921570356,2.2407498770044185]",2.071646524858078
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-763c85a564e03007678f,0,693049.4031143989,2125.8391664522014,32.514218898014704,33.21623697581565,751132.0,2304.0,36.0,0.6000000000000001,do-soak-cell-96e61c1f6d765c7f282f,this predeclared 30-second arrival cohort only,18,kimi-k3,3.7871204750117613,"[3.8574636019423316,6.0776377089787275]",5.870391403452958,0.6,False,0.0,"[0.0,0.17587922364665765]",0,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.7959027850010898,"[1.8700115342071628,2.137823450990254]",2.0168691667116945
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-9e74166bd5c6dacc2d8b,1,630654.3930274011,1934.440263194857,35.7312662040252,30.22562911241964,751136.0,2304.0,36.0,0.6000000000000001,do-soak-cell-96e61c1f6d765c7f282f,this predeclared 30-second arrival cohort only,18,kimi-k3,4.282180147012696,"[4.716891549863046,10.079674194013933]",9.956278028013184,0.6,False,0.0,"[0.0,0.17587922364665765]",0,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.885808332983288,"[2.2602365477548467,2.8795731790014543]",2.75649719779758
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-e61e734adab583cd5553,2,653378.0059752421,1967.5658848222433,34.489315210977395,31.314045912290343,751152.0,2262.0,36.0,0.6000000000000001,do-soak-cell-96e61c1f6d765c7f282f,this predeclared 30-second arrival cohort only,18,kimi-k3,4.441386902995873,"[5.815818246971871,11.61859170498792]",10.662349989953508,0.6,False,0.05555555555555555,"[0.009875190978303097,0.25757300781872594]",1,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.9309483589895535,"[2.062207035210041,2.877418015996227]",2.778250890903291
"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-block-399e248af0e1896febd7,3,626880.107090164,1922.7608000465107,35.948309326010815,30.04313750072673,751176.0,2304.0,36.0,0.6000000000000001,do-soak-cell-96e61c1f6d765c7f282f,this predeclared 30-second arrival cohort only,18,kimi-k3,4.170184496499132,"[4.881471599923861,9.107242506026523]",8.611423696910787,0.6,False,0.05555555555555555,"[0.009875190978303097,0.25757300781872594]",1,analysis_block_id,18,digitalocean_public_soak_block_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,1.0,"[0.8241207763533425,1.0]",18,1.9811520104994997,"[2.143707904181823,3.081884743005503]",2.839667184083373
