arrival_cohort_effective_input_tpm_including_drain_block_mean,arrival_cohort_effective_input_tpm_including_drain_block_mean_ci95_student_t,arrival_cohort_effective_output_tpm_including_drain_block_mean,arrival_cohort_effective_output_tpm_including_drain_block_mean_ci95_student_t,arrival_cohort_successful_rpm_including_drain_block_mean,arrival_cohort_successful_rpm_including_drain_block_mean_ci95_student_t,arrival_window_successful_rpm_block_mean_accounting,arrival_window_successful_rpm_block_mean_ci95_student_t_accounting,block_ci_note,block_ci_sampling_unit,candidate_rate_rps,capacity_claim,capacity_generalization,cell_id,claim_scope,effective_input_tpm_block_mean,effective_input_tpm_block_mean_ci95_student_t,effective_output_tpm_block_mean,effective_output_tpm_block_mean_ci95_student_t,endpoint_id,execution_complete,headline_goodput_denominator,paired_quality_ci_sampling_unit,paired_quality_delta_mean,paired_quality_delta_mean_ci95_student_t,quality_pair_count,sampling_unit,schema_version,scientifically_complete,shape,soak_acceptance_pass,soak_block_count,source_aimd_confirmation_epoch_count,source_aimd_evidence_level,source_id,source_kind,status,successful_rpm_block_mean,successful_rpm_block_mean_ci95_student_t,two_minute_soak_observed_rps,two_minute_soak_verified_rps
787330.8549333464,"[786754.1176732214,787907.5921934714]",1436.661927669401,"[1198.182286505331,1675.141568833471]",35.99178771666561,"[35.965656231095586,36.01791920223564]",36.0,"[36.0,36.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.6000000000000001,exact_two_minute_soak_measured_fail,none,do-soak-cell-e9da998ab2c0562dfbc8,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",787510.5,"[787490.3124731331,787530.6875268669]",1437.0,"[1198.3075771039223,1675.6924228960777]",deepseek-v4-flash-0731,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,input32k_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,36.0,"[36.0,36.0]",0.6000000000000001,
436956.73185123916,"[397588.2064624815,476325.2572399968]",1276.750290571046,"[1161.7255853106026,1391.7749958314894]",19.949223290172593,"[18.151962270478165,21.74648430986702]",21.0,"[19.16287144343861,22.83712855656139]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.35,exact_two_minute_soak_measured_fail,none,do-soak-cell-c0bbae2f27febab8fae5,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",459972.5,"[419725.60553915775,500219.39446084225]",1344.0,"[1226.4237723800711,1461.5762276199289]",minimax-m2.5,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,input32k_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,21.0,"[19.16287144343861,22.83712855656139]",0.35,
650990.4773018016,"[602649.9047230284,699331.0498805747]",1987.6515286289532,"[1838.0030526205335,2137.300004637373]",31.19976237531309,"[28.882148563989514,33.51737618663667]",36.0,"[36.0,36.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.6000000000000001,exact_two_minute_soak_measured_fail,none,do-soak-cell-96e61c1f6d765c7f282f,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",751149.0,"[751117.2330776016,751180.7669223984]",2293.5,"[2260.089,2326.911]",kimi-k3,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,input32k_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,36.0,"[36.0,36.0]",0.6000000000000001,
695044.9321143018,"[603666.7681587656,786423.096069838]",2028.1753084448362,"[1761.5012511210437,2294.8493657686286]",31.690239194450566,"[27.523457048766307,35.85702134013482]",36.0,"[36.0,36.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.6000000000000001,exact_two_minute_soak_measured_fail,none,do-soak-cell-ce22be1c19c9c153e4ef,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",789569.0,"[789542.95420748,789595.04579252]",2304.0,"[2304.0,2304.0]",openai-gpt-oss-120b,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,input32k_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,36.0,"[36.0,36.0]",0.6000000000000001,
36856.449137531235,"[31355.01416190533,42357.884113157146]",15790.254646966996,"[12889.802478700009,18690.706815233985]",294.80452246753987,"[251.56840338467902,338.0406415504007]",360.0,"[360.0,360.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,6.0,exact_two_minute_soak_measured_fail,none,do-soak-cell-05468919c2421d27aba3,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",45002.0,"[44828.180064388456,45175.819935611544]",19250.0,"[18309.461944612554,20190.538055387446]",openai-gpt-oss-120b,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,short_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,360.0,"[360.0,360.0]",6.0,
25914.430367472447,"[24111.532622213057,27717.328112731837]",17258.70894472039,"[16016.026174808594,18501.391714632187]",269.6673272612561,"[250.25040898138428,289.0842455411279]",360.0,"[360.0,360.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,6.0,exact_two_minute_soak_measured_fail,none,do-soak-cell-26fc3839539dfce43abe,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",34597.0,"[34482.40381407743,34711.59618592257]",23040.0,"[23040.0,23040.0]",minimax-m2.5,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,short_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,360.0,"[360.0,360.0]",6.0,
208734.7262024146,"[180324.42560522383,237145.02679960537]",530.578097792668,"[458.34999775697236,602.8061978283637]",8.290282778010438,"[7.161718714952693,9.418846841068182]",9.0,"[7.162871443438611,10.837128556561389]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.15000000000000002,exact_two_minute_soak_measured_fail,none,do-soak-cell-835dbeb2b6e9df63ca37,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",226604.5,"[180346.51995963533,272862.48004036467]",576.0,"[458.4237723800711,693.5762276199289]",nemotron-3-ultra-550b,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,input32k_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,9.0,"[7.162871443438611,10.837128556561389]",0.15000000000000002,
13290.367564725373,"[4242.168698659529,22338.566430791216]",8756.32362315343,"[1614.1425802520907,15898.50466605477]",18.808848656530152,"[6.70233312478662,30.915364188273685]",45.0,"[43.16287144343861,46.83712855656139]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.75,exact_two_minute_soak_measured_fail,none,do-soak-cell-974d3e8e3e99348fcce6,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",31598.5,"[27365.636700987576,35831.363299012424]",20458.5,"[16477.18989494417,24439.81010505583]",minimax-m2.5,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.2,"[-0.19199999999999995,0.592]",5,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,mixed,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,45.0,"[43.16287144343861,46.83712855656139]",0.75,
87726.90414059535,"[86144.52647152112,89309.28180966957]",5267.890367590998,"[5173.874268623729,5361.906466558266]",1316.9725918977495,"[1293.4685671559323,1340.4766166395666]",1440.0,"[1440.0,1440.0]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,24.0,exact_two_minute_soak_measured_fail,none,do-soak-cell-b410338f028fc0b03d47,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",95922.0,"[95793.2698444549,96050.7301555451]",5760.0,"[5760.0,5760.0]",deepseek-v4-flash-0731,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,short_short,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,1440.0,"[1440.0,1440.0]",24.0,
701.0897291036416,"[99.32453356109295,1302.8549246461903]",11867.084496187388,"[1624.4277742523955,22109.74121812238]",5.794474851653998,"[0.7931776241466775,10.795772079161319]",20.5,"[18.909,22.091]",exploratory Student-t interval over four contiguous predeclared blocks; serial correlation is not modeled,analysis_block_id,0.35,exact_two_minute_soak_measured_fail,none,do-soak-cell-3cac1f31bae8b76d1878,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",2483.0,"[2301.1242729004225,2664.8757270995775]",41984.0,"[38725.632,45242.368]",minimax-m2.5,True,arrival_cohort_elapsed_seconds_including_drain,quality_pair_id,0.0,"[0.0,0.0]",4,cell_id_with_four_analysis_block_ids,digitalocean_public_soak_cell_summary_v1,True,short_long,False,4,3,descending_rate_reconfirmation_from_prior_aimd_candidate,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete,20.5,"[18.909,22.091]",0.35,
